customerID,Churn_Probability,Risk_Category
3055-VTCGS,3.0,Low Risk
3144-KMTWZ,12.0,Low Risk
7279-BUYWN,97.0,High Risk
7156-MHUGY,61.0,High Risk
7198-GLXTC,84.0,High Risk
2007-QVGAW,1.0,Low Risk
5207-PLSTK,46.0,Medium Risk
2307-FYNNL,0.0,Low Risk
5605-XNWEN,0.0,Low Risk
2155-AMQRX,15.0,Low Risk
6181-AXXYF,0.0,Low Risk
5091-HFAZW,56.00000000000001,Medium Risk
0516-VRYBW,6.0,Low Risk
2519-LBNQL,0.0,Low Risk
8623-ULFNQ,15.0,Low Risk
8380-PEFPE,81.0,High Risk
5687-DKDTV,16.0,Low Risk
1568-LJSZU,0.0,Low Risk
7530-HDYDS,97.0,High Risk
7789-HKSBS,1.0,Low Risk
7416-CKTEP,3.0,Low Risk
2586-CWXVV,11.0,Low Risk
3096-IZETN,51.0,Medium Risk
2348-KCJLT,1.0,Low Risk
8401-EMUWF,1.0,Low Risk
4193-IBKSW,0.0,Low Risk
5377-NDTOU,0.0,Low Risk
5922-ABDVO,57.99999999999999,Medium Risk
2474-LCNUE,13.0,Low Risk
0839-QNXME,1.0,Low Risk
3506-OVLKD,5.0,Low Risk
9172-ANCRX,99.0,High Risk
6650-VJONK,62.0,High Risk
2178-PMGCJ,22.0,Low Risk
7492-TAFJD,2.0,Low Risk
2773-MADBQ,0.0,Low Risk
6016-LVTJQ,6.0,Low Risk
7860-KSUGX,0.0,Low Risk
8966-KZXXA,3.0,Low Risk
6910-HADCM,94.0,High Risk
4816-LXZYW,66.0,High Risk
9606-PBKBQ,79.0,High Risk
5149-QYTTU,0.0,Low Risk
2070-XYMFH,17.0,Low Risk
2085-BOJKI,4.0,Low Risk
0817-HSUSE,60.0,Medium Risk
5442-PPTJY,2.0,Low Risk
1927-QEWMY,0.0,Low Risk
1663-MHLHE,20.0,Low Risk
5663-QBGIS,0.0,Low Risk
4450-MDZFX,3.0,Low Risk
6701-DHKWQ,16.0,Low Risk
7554-AKDQF,36.0,Medium Risk
3536-IQCTX,70.0,High Risk
4911-BANWH,68.0,High Risk
8496-EJAUI,43.0,Medium Risk
0794-YVSGE,0.0,Low Risk
5423-BHIXO,14.000000000000002,Low Risk
6908-VVYHM,1.0,Low Risk
2959-EEXWB,3.0,Low Risk
1839-UMACK,12.0,Low Risk
3030-YDNRM,68.0,High Risk
7321-KKSDU,2.0,Low Risk
3402-XRIUO,7.000000000000001,Low Risk
3132-TVFDZ,91.0,High Risk
8286-AFUYI,47.0,Medium Risk
8080-DDEMJ,72.0,High Risk
8356-WUAOJ,81.0,High Risk
6365-MTGZX,93.0,High Risk
1349-WXNGG,51.0,Medium Risk
8058-DMYRU,2.0,Low Risk
9350-ZXYJC,7.000000000000001,Low Risk
6990-YNRIO,97.0,High Risk
8958-JPTRR,22.0,Low Risk
6959-GQEGV,3.0,Low Risk
3173-WSSUE,0.0,Low Risk
1265-HVPZB,0.0,Low Risk
4115-UMJFQ,1.0,Low Risk
7369-TRPFD,2.0,Low Risk
1098-KFQEC,2.0,Low Risk
7190-XHTWJ,1.0,Low Risk
0621-TWIEM,56.00000000000001,Medium Risk
3537-RYBHH,3.0,Low Risk
2485-ITVKB,88.0,High Risk
3669-OYSJI,63.0,High Risk
1612-EOHDH,68.0,High Risk
6702-OHFWR,91.0,High Risk
5296-BFCYD,1.0,Low Risk
4510-PYUSH,94.0,High Risk
9359-JANWS,0.0,Low Risk
7517-SAWMO,54.0,Medium Risk
4143-HHPMK,99.0,High Risk
3279-DYZQM,0.0,Low Risk
7054-LGEQW,64.0,High Risk
0523-VNGTF,6.0,Low Risk
9575-IWCAZ,6.0,Low Risk
7105-MXJLL,2.0,Low Risk
7064-FRRSW,1.0,Low Risk
7940-UQQUG,3.0,Low Risk
0923-PNFUB,34.0,Medium Risk
3961-SXAXY,56.99999999999999,Medium Risk
7010-BRBUU,2.0,Low Risk
3566-HJGPK,70.0,High Risk
3062-ICYZQ,0.0,Low Risk
9938-PRCVK,1.0,Low Risk
0973-KYVNF,0.0,Low Risk
5129-HHMZC,0.0,Low Risk
9637-CDTKZ,0.0,Low Risk
3946-JEWRQ,70.0,High Risk
7873-CVMAW,0.0,Low Risk
0463-WZZKO,15.0,Low Risk
3494-JCHRQ,85.0,High Risk
6474-FVJLC,91.0,High Risk
4524-QCSSM,18.0,Low Risk
5832-EXGTT,3.0,Low Risk
8840-DQLGN,95.0,High Risk
2039-JONDJ,2.0,Low Risk
7217-JYHOQ,15.0,Low Risk
6695-FRVEC,0.0,Low Risk
4547-LYTDD,55.00000000000001,Medium Risk
9894-QMIMJ,2.0,Low Risk
8069-YQQAJ,19.0,Low Risk
6770-XUAGN,74.0,High Risk
4193-ORFCL,73.0,High Risk
1636-NTNCO,59.0,Medium Risk
3466-WAESX,13.0,Low Risk
9281-PKKZE,12.0,Low Risk
3638-VBZTA,0.0,Low Risk
7459-IMVYU,21.0,Low Risk
7776-QWNFX,11.0,Low Risk
6689-TCZHQ,75.0,High Risk
8563-OYMQY,14.000000000000002,Low Risk
0754-EEBDC,2.0,Low Risk
5777-ZPQNC,4.0,Low Risk
1951-IEYXM,0.0,Low Risk
3318-NMQXL,57.99999999999999,Medium Risk
3143-ILDAL,96.0,High Risk
1022-RKXDR,3.0,Low Risk
2361-FJWNO,2.0,Low Risk
2272-UOINI,19.0,Low Risk
8232-UTFOZ,0.0,Low Risk
3750-YHRYO,5.0,Low Risk
6637-KYRCV,50.0,Medium Risk
5668-MEISB,0.0,Low Risk
0129-QMPDR,3.0,Low Risk
7188-CBBBA,1.0,Low Risk
5356-CSVSQ,51.0,Medium Risk
3221-CJMSG,9.0,Low Risk
4720-VSTSI,95.0,High Risk
3219-JQRSL,0.0,Low Risk
2801-NISEI,18.0,Low Risk
3946-MHCZW,70.0,High Risk
4623-ZKHLY,8.0,Low Risk
6732-VAILE,0.0,Low Risk
8201-AAXCB,20.0,Low Risk
7696-CFTAT,2.0,Low Risk
1845-CSBRZ,41.0,Medium Risk
2123-VSCOT,0.0,Low Risk
6651-AZVTJ,79.0,High Risk
4566-GOLUK,98.0,High Risk
2484-DGXPZ,31.0,Medium Risk
2018-QKYGT,91.0,High Risk
2792-VPPET,26.0,Low Risk
7409-JURKQ,0.0,Low Risk
3247-MHJKM,52.0,Medium Risk
1964-SVLEA,2.0,Low Risk
4587-NUKOX,35.0,Medium Risk
7297-DVYGA,4.0,Low Risk
2239-CGBUZ,1.0,Low Risk
0854-UYHZD,2.0,Low Risk
7243-LCGGZ,37.0,Medium Risk
8267-KFGYD,53.0,Medium Risk
4890-VMUAV,0.0,Low Risk
9261-WDCAF,53.0,Medium Risk
3764-MNMOI,1.0,Low Risk
7442-YGZFK,60.0,Medium Risk
0420-BWTPW,37.0,Medium Risk
8229-BUJHX,0.0,Low Risk
7449-HVPIV,2.0,Low Risk
5504-WSIUR,0.0,Low Risk
8183-ONMXC,80.0,High Risk
8466-PZBLH,0.0,Low Risk
9614-RMGHA,99.0,High Risk
8735-IJJEG,17.0,Low Risk
0564-MUUQK,8.0,Low Risk
5054-IEXZT,83.0,High Risk
5834-ASPWA,88.0,High Risk
0701-RFGFI,2.0,Low Risk
0019-EFAEP,0.0,Low Risk
5619-PTMIK,8.0,Low Risk
3737-XBQDD,15.0,Low Risk
5882-CMAZQ,39.0,Medium Risk
5846-QFDFI,8.0,Low Risk
4445-KWOKW,2.0,Low Risk
3511-APPBJ,1.0,Low Risk
7967-HYCDE,45.0,Medium Risk
2430-RRYUW,28.999999999999996,Low Risk
3948-XHGNA,26.0,Low Risk
3723-BFBGR,11.0,Low Risk
0565-IYCGT,85.0,High Risk
5447-WZAFP,0.0,Low Risk
5110-CHOPY,3.0,Low Risk
5445-UTODQ,77.0,High Risk
4425-OWHWB,3.0,Low Risk
7892-QVYKW,48.0,Medium Risk
9675-ICXCT,0.0,Low Risk
1024-VRZHF,77.0,High Risk
4703-MQYKT,2.0,Low Risk
9497-QCMMS,99.0,High Risk
5692-ICXLW,10.0,Low Risk
0602-DDUML,0.0,Low Risk
2208-MPXIO,1.0,Low Risk
1960-UYCNN,56.99999999999999,Medium Risk
0348-SDKOL,96.0,High Risk
3190-FZATL,13.0,Low Risk
7336-RLLRH,1.0,Low Risk
4373-MAVJG,97.0,High Risk
8901-HJXTF,43.0,Medium Risk
7710-JSYOA,0.0,Low Risk
5419-KLXBN,11.0,Low Risk
3424-NMNBO,99.0,High Risk
9885-MFVSU,1.0,Low Risk
4514-GFCFI,75.0,High Risk
0607-MVMGC,1.0,Low Risk
3365-SAIGS,47.0,Medium Risk
9828-AOQLM,80.0,High Risk
8022-BECSI,1.0,Low Risk
8000-REIQB,94.0,High Risk
9993-LHIEB,0.0,Low Risk
0266-CLZKZ,0.0,Low Risk
7615-ESMYF,69.0,High Risk
3858-VOBET,65.0,High Risk
7020-OZKXZ,38.0,Medium Risk
3977-QCRSL,14.000000000000002,Low Risk
0017-DINOC,2.0,Low Risk
1447-PJGGA,84.0,High Risk
8565-CLBZW,98.0,High Risk
9139-WQQDY,83.0,High Risk
0224-HJAPT,70.0,High Risk
8086-OVPWV,86.0,High Risk
9430-FRQOC,84.0,High Risk
7639-OPLNG,0.0,Low Risk
3074-GQWYX,79.0,High Risk
1492-QGCLU,2.0,Low Risk
6845-RGTYS,99.0,High Risk
7328-OWMOM,1.0,Low Risk
4418-LZMSV,5.0,Low Risk
5155-AZQPB,6.0,Low Risk
8861-HGGKB,75.0,High Risk
1087-GRUYI,1.0,Low Risk
7065-YUNRY,72.0,High Risk
7694-VLBWQ,99.0,High Risk
2546-KZAAT,0.0,Low Risk
0181-RITDD,0.0,Low Risk
5989-PGKJB,42.0,Medium Risk
4795-KTRTH,80.0,High Risk
8272-ONJLV,7.000000000000001,Low Risk
1488-PBLJN,0.0,Low Risk
0308-GIQJT,0.0,Low Risk
3778-FOAQW,1.0,Low Risk
4452-ROHMO,2.0,Low Risk
6481-OGDOO,92.0,High Risk
3090-LETTY,19.0,Low Risk
5349-AZPEW,45.0,Medium Risk
3753-TSEMP,97.0,High Risk
8305-VHZBZ,57.99999999999999,Medium Risk
9720-JJJOR,2.0,Low Risk
8100-HZZLJ,2.0,Low Risk
8775-ERLNB,75.0,High Risk
8309-IEYJD,87.0,High Risk
9172-JITSM,95.0,High Risk
6298-QDFNH,82.0,High Risk
7398-HPYZQ,0.0,Low Risk
3546-GHEAE,2.0,Low Risk
7361-YPXFS,2.0,Low Risk
6557-BZXLQ,43.0,Medium Risk
2550-QHZGP,7.000000000000001,Low Risk
7519-JTWQH,36.0,Medium Risk
2538-OIMXF,60.0,Medium Risk
8543-MSDMF,30.0,Medium Risk
9961-JBNMK,96.0,High Risk
1170-SASML,3.0,Low Risk
4872-JCVCA,0.0,Low Risk
5346-BZCHP,1.0,Low Risk
2038-LLMLM,74.0,High Risk
6173-ITPWD,91.0,High Risk
9734-UYXQI,70.0,High Risk
1216-BGTSP,1.0,Low Risk
4138-NAXED,11.0,Low Risk
2189-UXTKY,95.0,High Risk
0744-BIKKF,0.0,Low Risk
7483-IQWIB,64.0,High Risk
5248-KWLAR,0.0,Low Risk
4958-GZWIY,68.0,High Risk
7996-MHXLW,1.0,Low Risk
7833-PKIHD,1.0,Low Risk
7061-OVMIM,2.0,Low Risk
5153-RTHKF,69.0,High Risk
1852-QSWCD,0.0,Low Risk
4832-VRBMR,0.0,Low Risk
9079-LWTFD,1.0,Low Risk
6356-ELRKD,86.0,High Risk
8624-GIOUT,97.0,High Risk
3392-EHMNK,0.0,Low Risk
5986-WWXDV,2.0,Low Risk
3061-BCKYI,13.0,Low Risk
6179-GJPSO,98.0,High Risk
7901-TBKJX,2.0,Low Risk
7228-PAQPD,11.0,Low Risk
3177-LASXD,80.0,High Risk
7746-QYVCO,4.0,Low Risk
5804-HYIEZ,0.0,Low Risk
9919-FZDED,0.0,Low Risk
5934-TSSAU,18.0,Low Risk
3486-KHMLI,3.0,Low Risk
4897-QSUYC,56.00000000000001,Medium Risk
1084-UQCHV,91.0,High Risk
8290-YWKHZ,99.0,High Risk
2955-BJZHG,54.0,Medium Risk
3806-DXQOM,97.0,High Risk
6784-XYJAE,4.0,Low Risk
3933-DQPWX,1.0,Low Risk
6661-EIPZC,12.0,Low Risk
8957-THMOA,3.0,Low Risk
2251-PYLPB,0.0,Low Risk
5555-RNPGT,14.000000000000002,Low Risk
1057-FOGLZ,6.0,Low Risk
9300-RENDD,93.0,High Risk
0761-AETCS,31.0,Medium Risk
8087-LGYHQ,54.0,Medium Risk
4137-BTIKL,53.0,Medium Risk
2190-BCXEC,43.0,Medium Risk
6227-FBDXH,0.0,Low Risk
2153-MREFK,96.0,High Risk
2911-WDXMV,18.0,Low Risk
7206-PQBBZ,60.0,Medium Risk
3106-ULWFW,85.0,High Risk
0925-VYDLG,75.0,High Risk
4547-FZJWE,2.0,Low Risk
7422-WNBTY,2.0,Low Risk
0842-IWYCP,6.0,Low Risk
3521-HTQTV,3.0,Low Risk
3744-ZBHON,28.000000000000004,Low Risk
3373-DIUUN,1.0,Low Risk
8383-SGHJU,2.0,Low Risk
7607-QKKTJ,0.0,Low Risk
7707-PYBBH,1.0,Low Risk
8984-HPEMB,0.0,Low Risk
4349-GFQHK,82.0,High Risk
4139-DETXS,0.0,Low Risk
9779-DPNEJ,38.0,Medium Risk
9805-FILKB,5.0,Low Risk
5793-YOLJN,10.0,Low Risk
0673-IGUQO,52.0,Medium Risk
4123-FCVCB,30.0,Medium Risk
8819-IMISP,61.0,High Risk
7802-EFKNY,63.0,High Risk
8311-UEUAB,0.0,Low Risk
5858-EAFCZ,47.0,Medium Risk
8035-BUYVG,97.0,High Risk
1163-ONYEY,2.0,Low Risk
9787-XVQIU,88.0,High Risk
8945-MUQUF,87.0,High Risk
5656-MJEFC,1.0,Low Risk
6082-OQFBA,1.0,Low Risk
8051-HJRLT,87.0,High Risk
8974-OVACP,37.0,Medium Risk
4010-YLMVT,1.0,Low Risk
1379-FRVEB,31.0,Medium Risk
8612-GXIDD,2.0,Low Risk
6288-CHQJB,0.0,Low Risk
8160-HOWOX,33.0,Medium Risk
3023-GFLBR,70.0,High Risk
6648-INWPS,26.0,Low Risk
4223-BKEOR,2.0,Low Risk
4079-VTGLK,1.0,Low Risk
1763-WQFUK,52.0,Medium Risk
1391-UBDAR,24.0,Low Risk
8894-JVDCV,0.0,Low Risk
2023-VQFDL,19.0,Low Risk
1345-GKDZZ,17.0,Low Risk
2014-MKGMH,1.0,Low Risk
5628-FCGYG,61.0,High Risk
2560-WBWXF,1.0,Low Risk
0248-IPDFW,64.0,High Risk
7978-DKUQH,21.0,Low Risk
4335-UPJSI,1.0,Low Risk
0524-IAVZO,70.0,High Risk
2737-YNGYW,85.0,High Risk
1784-EZDKJ,0.0,Low Risk
9297-FVVDH,0.0,Low Risk
8007-YYPWD,4.0,Low Risk
7101-HRBLJ,0.0,Low Risk
5159-YFPKQ,77.0,High Risk
6635-CPNUN,2.0,Low Risk
4021-RQSNY,99.0,High Risk
5453-YBTWV,0.0,Low Risk
5039-LZRQT,2.0,Low Risk
2931-VUVJN,54.0,Medium Risk
9061-TIHDA,55.00000000000001,Medium Risk
8699-ASUFO,72.0,High Risk
6418-PIQSP,1.0,Low Risk
8220-OCUFY,4.0,Low Risk
3995-WFCSM,59.0,Medium Risk
1895-QTKDO,49.0,Medium Risk
2038-OEQZH,59.0,Medium Risk
1178-PZGAB,3.0,Low Risk
7927-AUXBZ,49.0,Medium Risk
2626-VEEWG,0.0,Low Risk
2878-RMWXY,0.0,Low Risk
1657-DYMBM,4.0,Low Risk
7311-MQJCH,9.0,Low Risk
7375-WMVMT,0.0,Low Risk
1136-XGEQU,1.0,Low Risk
2530-FMFXO,0.0,Low Risk
6844-DZKRF,56.00000000000001,Medium Risk
4695-WJZUE,95.0,High Risk
7619-ODSGN,34.0,Medium Risk
5970-GHJAW,1.0,Low Risk
8879-XUAHX,0.0,Low Risk
3689-MOZGR,43.0,Medium Risk
4195-PNGZS,0.0,Low Risk
5003-XZWWO,0.0,Low Risk
3988-RQIXO,99.0,High Risk
7622-FWGEW,48.0,Medium Risk
6922-NCEDI,5.0,Low Risk
2514-GINMM,91.0,High Risk
9891-NQDBD,3.0,Low Risk
6131-IUNXN,5.0,Low Risk
8548-AWOFC,2.0,Low Risk
9798-DRYDS,5.0,Low Risk
8532-UEFWH,2.0,Low Risk
6296-DDOOR,6.0,Low Risk
7951-VRDVK,1.0,Low Risk
5931-FLJJF,56.00000000000001,Medium Risk
4815-YOSUK,0.0,Low Risk
2659-VXMWZ,99.0,High Risk
0380-NEAVX,1.0,Low Risk
3207-OYBWH,94.0,High Risk
4285-GYRQC,97.0,High Risk
7216-EWTRS,96.0,High Risk
4365-MSDYN,35.0,Medium Risk
7036-TYDEC,0.0,Low Risk
5802-ADBRC,0.0,Low Risk
8076-FEZKJ,5.0,Low Risk
5197-YPYBZ,2.0,Low Risk
8337-MSSXB,98.0,High Risk
4312-GVYNH,0.0,Low Risk
8495-LJDFO,0.0,Low Risk
0839-JTCUD,0.0,Low Risk
5494-WOZRZ,0.0,Low Risk
1302-UHBDD,9.0,Low Risk
2234-EOFPT,0.0,Low Risk
8619-IJNDK,0.0,Low Risk
8378-LKJAF,1.0,Low Risk
8182-BJDSI,96.0,High Risk
2528-HFYZX,64.0,High Risk
1153-GNOLC,5.0,Low Risk
3298-QEICA,2.0,Low Risk
0788-DXBFY,8.0,Low Risk
3597-YASZG,0.0,Low Risk
3496-LFSZU,68.0,High Risk
5242-UOWHD,1.0,Low Risk
2482-CZGBB,66.0,High Risk
6479-SZPLM,1.0,Low Risk
8097-VBQTZ,56.99999999999999,Medium Risk
4500-HKANN,1.0,Low Risk
9917-KWRBE,1.0,Low Risk
3420-ZDBMA,39.0,Medium Risk
2212-LYASK,2.0,Low Risk
1393-IMKZG,78.0,High Risk
8069-RHUXK,1.0,Low Risk
3398-GCPMU,0.0,Low Risk
2908-WGAXL,2.0,Low Risk
3378-AJRAO,7.000000000000001,Low Risk
1013-QCWAM,1.0,Low Risk
0866-QLSIR,98.0,High Risk
6050-FFXES,0.0,Low Risk
7181-BQYBV,91.0,High Risk
0362-RAOQO,1.0,Low Risk
9554-DFKIC,8.0,Low Risk
5527-ACHSO,30.0,Medium Risk
0829-DDVLK,2.0,Low Risk
1399-UBQIU,20.0,Low Risk
1813-JLKWR,2.0,Low Risk
0336-PIKEI,0.0,Low Risk
7322-OCWHC,0.0,Low Risk
9537-VHDTA,42.0,Medium Risk
4957-TIALW,2.0,Low Risk
2054-PJOCK,1.0,Low Risk
9150-HEPMB,1.0,Low Risk
9030-QGZNL,2.0,Low Risk
6204-IEUXJ,78.0,High Risk
3126-WQMGH,14.000000000000002,Low Risk
4529-CKBCL,84.0,High Risk
2506-CLAKW,85.0,High Risk
7176-WRTNX,0.0,Low Risk
1583-IHQZE,51.0,Medium Risk
5732-IKGQH,27.0,Low Risk
9239-GZHZE,0.0,Low Risk
7205-BAIAD,1.0,Low Risk
0151-ONTOV,85.0,High Risk
4140-MUHUG,82.0,High Risk
0093-EXYQL,2.0,Low Risk
8064-RAVOH,80.0,High Risk
0219-QAERP,1.0,Low Risk
0320-JDNQG,99.0,High Risk
7180-PISOG,82.0,High Risk
9168-INPSZ,1.0,Low Risk
3571-RFHAR,99.0,High Risk
0015-UOCOJ,31.0,Medium Risk
5334-AFQJB,0.0,Low Risk
2754-SDJRD,73.0,High Risk
9578-VRMNM,96.0,High Risk
1587-FKLZB,90.0,High Risk
6140-QNRQQ,79.0,High Risk
8963-JLGJT,37.0,Medium Risk
4307-KTUMW,96.0,High Risk
1465-LNTLJ,11.0,Low Risk
5440-FLBQG,99.0,High Risk
2135-DQWAQ,52.0,Medium Risk
4056-QHXHZ,0.0,Low Risk
7470-MCQTK,98.0,High Risk
7488-MXJIV,88.0,High Risk
7401-JIXNM,0.0,Low Risk
9339-FIIJL,0.0,Low Risk
2027-FECZV,99.0,High Risk
2672-DZUOY,82.0,High Risk
4706-DGAHW,61.0,High Risk
3870-MQAMG,98.0,High Risk
6670-MFRPK,1.0,Low Risk
6177-PEVRA,1.0,Low Risk
4800-CZMPC,70.0,High Risk
4813-HQMGZ,78.0,High Risk
7579-KKLOE,0.0,Low Risk
7377-DMMRI,63.0,High Risk
8402-EIVQS,0.0,Low Risk
4947-DSMXK,2.0,Low Risk
7245-NIIWQ,71.0,High Risk
0002-ORFBO,5.0,Low Risk
3324-OIRTO,0.0,Low Risk
5414-OFQCB,0.0,Low Risk
4967-WPNCF,0.0,Low Risk
8552-OBVRU,1.0,Low Risk
8499-BRXTD,2.0,Low Risk
9154-QDGTH,1.0,Low Risk
8197-BFWVU,0.0,Low Risk
2577-GVSIL,5.0,Low Risk
9367-OIUXP,11.0,Low Risk
6770-UAYGJ,2.0,Low Risk
6463-HHXJR,0.0,Low Risk
7928-VJYAB,36.0,Medium Risk
1187-WILMM,0.0,Low Risk
9776-OJUZI,1.0,Low Risk
1306-RPWXZ,1.0,Low Risk
8949-JTMAY,93.0,High Risk
2774-LVQUS,56.00000000000001,Medium Risk
3097-PYWXL,23.0,Low Risk
2266-SJNAT,0.0,Low Risk
0869-PAPRP,39.0,Medium Risk
4238-JSSWH,3.0,Low Risk
2972-YDYUW,1.0,Low Risk
1104-FEJAM,5.0,Low Risk
2809-ILCYT,7.000000000000001,Low Risk
5499-ECUTN,2.0,Low Risk
4981-FLTMF,1.0,Low Risk
9121-PHQSR,66.0,High Risk
3113-IWHLC,28.999999999999996,Low Risk
3211-ILJTT,50.0,Medium Risk
4612-THJBS,98.0,High Risk
4277-BWBML,1.0,Low Risk
4094-NSEDU,98.0,High Risk
0234-TEVTT,1.0,Low Risk
4304-TSPVK,0.0,Low Risk
1552-AAGRX,5.0,Low Risk
2637-FKFSY,63.0,High Risk
9796-MVYXX,1.0,Low Risk
7874-ECPQJ,17.0,Low Risk
0020-INWCK,0.0,Low Risk
7089-RKVSZ,5.0,Low Risk
2683-JXWQQ,1.0,Low Risk
9548-ZMVTX,0.0,Low Risk
8739-XNIKG,84.0,High Risk
9755-JHNMN,0.0,Low Risk
3981-QSVQI,27.0,Low Risk
2789-HQBOU,70.0,High Risk
9424-CMPOG,2.0,Low Risk
5067-WJEUN,0.0,Low Risk
3450-WXOAT,19.0,Low Risk
9251-WNSOD,0.0,Low Risk
6974-DAFLI,10.0,Low Risk
2616-UUTFK,1.0,Low Risk
7064-JHXCE,0.0,Low Risk
5103-MHMHY,65.0,High Risk
7989-AWGEH,2.0,Low Risk
4373-VVHQL,62.0,High Risk
4559-UWIHT,44.0,Medium Risk
7268-IGMFD,11.0,Low Risk
1846-XWOQN,85.0,High Risk
0235-KGSLC,90.0,High Risk
6650-BWFRT,24.0,Low Risk
9570-KYEUA,0.0,Low Risk
6993-YGFJV,0.0,Low Risk
2712-SYWAY,44.0,Medium Risk
0730-BGQGF,0.0,Low Risk
5498-IBWPI,2.0,Low Risk
9101-NTIXF,8.0,Low Risk
0013-SMEOE,0.0,Low Risk
9314-QDMDW,14.000000000000002,Low Risk
9308-ANMVE,5.0,Low Risk
2884-GBPFB,70.0,High Risk
3757-NJYBX,98.0,High Risk
3413-DHLPB,0.0,Low Risk
7649-PHJVR,4.0,Low Risk
6114-TCFID,4.0,Low Risk
3787-TRIAL,10.0,Low Risk
2573-GYRUU,1.0,Low Risk
5156-UMKOW,31.0,Medium Risk
1247-QBVSH,3.0,Low Risk
6734-GMPVK,59.0,Medium Risk
9822-OAOVB,78.0,High Risk
6161-ERDGD,1.0,Low Risk
1226-JZNKR,10.0,Low Risk
7318-EIVKO,34.0,Medium Risk
3771-PZOBW,12.0,Low Risk
5136-KCKGI,96.0,High Risk
8231-BSWXX,4.0,Low Risk
6486-LHTMA,6.0,Low Risk
4083-BFNYK,1.0,Low Risk
3722-WPXTK,89.0,High Risk
7389-KBFIT,57.99999999999999,Medium Risk
7176-WIONM,28.000000000000004,Low Risk
5141-ZUVBH,40.0,Medium Risk
1089-HDMKP,18.0,Low Risk
7623-HKYRK,15.0,Low Risk
0310-SUCIN,0.0,Low Risk
5197-PYEPU,86.0,High Risk
2929-ERCFZ,97.0,High Risk
7548-SEPYI,81.0,High Risk
8835-VSDSE,73.0,High Risk
6619-RPLQZ,1.0,Low Risk
3275-RHRNE,1.0,Low Risk
3503-TYDAY,31.0,Medium Risk
6901-GOGZG,0.0,Low Risk
1623-NLDOT,1.0,Low Risk
7021-XSNYE,3.0,Low Risk
9621-OUPYD,3.0,Low Risk
9898-KZQDZ,99.0,High Risk
8982-NHAVY,2.0,Low Risk
4307-KWMXE,12.0,Low Risk
0141-YEAYS,18.0,Low Risk
2450-ZKEED,7.000000000000001,Low Risk
3694-DELSO,28.000000000000004,Low Risk
3893-JRNFS,2.0,Low Risk
9603-OAIHC,86.0,High Risk
1133-KXCGE,2.0,Low Risk
5236-PERKL,97.0,High Risk
0142-GVYSN,8.0,Low Risk
1049-FYSYG,20.0,Low Risk
7854-FOKSF,81.0,High Risk
2519-FAKOD,99.0,High Risk
8406-LNMHF,1.0,Low Risk
1821-BUCWY,0.0,Low Risk
8263-JQAIK,82.0,High Risk
0023-UYUPN,8.0,Low Risk
8314-DPQHL,7.000000000000001,Low Risk
1465-WCZVT,28.000000000000004,Low Risk
9481-SFCQY,12.0,Low Risk
6360-SVNWV,28.999999999999996,Low Risk
0567-GGCAC,4.0,Low Risk
7089-IVVAZ,88.0,High Risk
8884-MRNSU,5.0,Low Risk
2171-UDMFD,12.0,Low Risk
9050-IKDZA,82.0,High Risk
2205-YMZZJ,80.0,High Risk
9802-CAQUT,0.0,Low Risk
1254-IZEYF,92.0,High Risk
0187-WZNAB,15.0,Low Risk
9492-TOKRI,93.0,High Risk
1475-VWVDO,60.0,Medium Risk
9221-OTIVJ,99.0,High Risk
1357-MVDOZ,17.0,Low Risk
7602-MVRMB,0.0,Low Risk
3325-FUYCG,90.0,High Risk
5908-QMGOE,71.0,High Risk
1197-BVMVG,77.0,High Risk
5406-KGRMX,0.0,Low Risk
8481-YYXWG,73.0,High Risk
5968-HYJRZ,1.0,Low Risk
5198-EFNBM,1.0,Low Risk
7516-GMHUV,1.0,Low Risk
7140-ADSMJ,9.0,Low Risk
2230-XTUWL,1.0,Low Risk
7706-YLMQA,1.0,Low Risk
2585-KTFRE,28.000000000000004,Low Risk
7994-UYIVZ,87.0,High Risk
2609-IAICY,95.0,High Risk
1740-CSDJP,86.0,High Risk
7717-BICXI,1.0,Low Risk
6559-RAKOZ,1.0,Low Risk
2636-OHFMN,72.0,High Risk
4716-MRVEN,1.0,Low Risk
2143-LJULT,1.0,Low Risk
1323-OOEPC,98.0,High Risk
3200-MNQTF,0.0,Low Risk
6164-HXUGH,24.0,Low Risk
5630-IXDXV,1.0,Low Risk
0320-DWVTU,0.0,Low Risk
9135-MGVPY,0.0,Low Risk
1212-GLHMD,26.0,Low Risk
7878-JGDKK,39.0,Medium Risk
1088-AUUZZ,0.0,Low Risk
0397-GZBBC,73.0,High Risk
6614-YWYSC,1.0,Low Risk
9588-OZDMQ,68.0,High Risk
7641-EUYET,99.0,High Risk
6476-EPYZR,17.0,Low Risk
9921-ZVRHG,96.0,High Risk
1174-FGIFN,7.000000000000001,Low Risk
6620-HVDUJ,22.0,Low Risk
4701-MLJPN,4.0,Low Risk
1032-MAELW,0.0,Low Risk
7641-TQFHN,41.0,Medium Risk
1552-TKMXS,5.0,Low Risk
9206-GVPEQ,48.0,Medium Risk
8622-ZLFKO,68.0,High Risk
1596-BBVTG,56.99999999999999,Medium Risk
6188-UXBBR,2.0,Low Risk
2333-KWEWW,1.0,Low Risk
5702-SKUOB,23.0,Low Risk
1134-YWTYF,11.0,Low Risk
